Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-EC23","ZyviaData/RdsSecurityGroup/Resource","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","ZyviaData/RdsSecurityGroup/Resource","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-EC23","ZyviaData/RdsSecurityGroup/from ZyviaDataDatabaseRotationSingleUserSecurityGroupE348C586:{IndirectPort}","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-SMG4","ZyviaData/Database/Secret/Resource","Compliant","N/A","Error","The secret does not have automatic rotation scheduled."
"AwsSolutions-RDS2","ZyviaData/Database/Resource","Compliant","N/A","Error","The RDS instance or Aurora DB cluster does not have storage encryption enabled."
"AwsSolutions-RDS3","ZyviaData/Database/Resource","Compliant","N/A","Error","The non-Aurora RDS DB instance does not have multi-AZ support enabled."
"AwsSolutions-RDS10","ZyviaData/Database/Resource","Compliant","N/A","Error","The RDS instance or Aurora DB cluster does not have deletion protection enabled."
"AwsSolutions-RDS11","ZyviaData/Database/Resource","Compliant","N/A","Error","The RDS instance or Aurora DB cluster uses the default endpoint port."
"AwsSolutions-RDS13","ZyviaData/Database/Resource","Compliant","N/A","Error","The RDS instance is not configured for automated backups."
"AwsSolutions-EC23","ZyviaData/Database/RotationSingleUser/SecurityGroup/Resource","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","ZyviaData/Database/RotationSingleUser/SecurityGroup/Resource","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-SMG4","ZyviaData/DatabaseUrlSecret/Resource","Suppressed","databaseUrlSecret and jwtPublicKeySecret are manually populated — rotation managed by infrastructure operator","Error","The secret does not have automatic rotation scheduled."
"AwsSolutions-SMG4","ZyviaData/JwtPublicKeySecret/Resource","Suppressed","databaseUrlSecret and jwtPublicKeySecret are manually populated — rotation managed by infrastructure operator","Error","The secret does not have automatic rotation scheduled."
